|year|insurer_ref|insurer_name|Description|Row No.|Marine and Aviation - Cargo|Marine and Aviation Hull and Liability|Fire|Motor|Work Injury Compensation|Personal Accident|Health|Misc - Public Liability|Misc - Bonds|Misc - Engineering/CAR/EAR|Misc - Professional Indemnity|Misc - Credit/Political Risk|Misc - Others|Misc - Sub-Total|Total
0|2005|I846G|SHC CAPITAL LIMITED|GWP - Direct business|1|194064|15225|460418|4877191|2274000|124090|19955|596288|1246647|1361421|143000|0|598920|3946276|11911219
1|2005|I846G|SHC CAPITAL LIMITED|GWP - RI accepted in Singapore|2|14412|15259|57352|0|45155|3034|0|10408|55473|179939|0|0|7247|253067|388279
2|2005|I846G|SHC CAPITAL LIMITED|GWP - RI accepted from other ASEAN countries|3|0|0|26840|0|0|370|0|975|0|0|0|0|573|1548|28758
3|2005|I846G|SHC CAPITAL LIMITED|GWP - RI accepted from other countries|4|0|0|914|0|0|0|0|0|0|0|0|0|0|0|914
4|2005|I846G|SHC CAPITAL LIMITED|GWP - Total (2 to 4)|5|14412|15259|85106|0|45155|3404|0|11383|55473|179939|0|0|7820|254615|417951
5|2005|I846G|SHC CAPITAL LIMITED|RI ceded - In Singapore|6|37716|8762|246744|677984|366273|49628|2479|98753|751345|1078170|138919|0|245950|2313137|3702723
6|2005|I846G|SHC CAPITAL LIMITED|RI ceded - To other ASEAN countries|7|1238|782|14485|61558|16756|2930|0|3598|34981|51799|40|0|10385|100803|198552
7|2005|I846G|SHC CAPITAL LIMITED|RI ceded - To other countries|8|4112|420|26563|0|0|5903|389|0|64029|88293|0|0|25841|178163|215550
8|2005|I846G|SHC CAPITAL LIMITED|RI ceded - Total (6 to 8)|9|43066|9964|287792|739542|383029|58461|2868|102351|850355|1218262|138959|0|282176|2592103|4116825
9|2005|I846G|SHC CAPITAL LIMITED|Net premiums written|10|165410|20520|257732|4137649|1936126|69033|17087|505320|451765|323098|4041|0|324564|1608788|8212345
10|2005|I846G|SHC CAPITAL LIMITED|Premium liabilities at beginning of period|11|80907|1092|62941|1761264|683047|24916|8318|92515|49090|78034|1241|0|147649|368529|2991014
11|2005|I846G|SHC CAPITAL LIMITED|Premium liabilities at end of period|12|83393|13868|74085|2246606|1046920|25260|5371|286230|315452|185128|689|0|131623|919122|4414625
12|2005|I846G|SHC CAPITAL LIMITED|Premiums earned during the period|13|162924|7744|246588|3652307|1572253|68689|20034|311605|185403|216004|4593|0|340590|1058195|6788734
13|2005|I846G|SHC CAPITAL LIMITED|Gross claims settled - Direct business|14|40319|0|49407|5449096|1753293|1968|0|76957|102064|31065|0|0|143678|353764|7647847
14|2005|I846G|SHC CAPITAL LIMITED|Gross claims settled - RI accepted in Singapore|15|238|-3336|14798|-3610|71992|0|0|34628|-3193|14106|0|0|817|46358|126440
15|2005|I846G|SHC CAPITAL LIMITED|Gross claims settled - RI accepted from other ASEAN countries|16|0|0|0|0|0|0|0|0|0|2527|0|0|433|2960|2960
16|2005|I846G|SHC CAPITAL LIMITED|Gross claims settled - RI accepted from other countries|17|0|-249|92520|0|0|0|0|0|0|0|0|0|43457|43457|135728
17|2005|I846G|SHC CAPITAL LIMITED|Gross claims settled - Total (15 to 17)|18|238|-3585|107318|-3610|71992|0|0|34628|-3193|16633|0|0|44707|92775|265128
18|2005|I846G|SHC CAPITAL LIMITED|Gross claims settled - RI recoveries from business ceded in Singapore|19|1895|-4899|41187|798004|151893|1479|0|4750|379107|39533|0|0|33598|456988|1446547
19|2005|I846G|SHC CAPITAL LIMITED|Gross claims settled - RI recoveries from business ceded to other ASEAN countries|20|63|0|6206|55073|-32|106|0|0|-155025|6421|0|0|5604|-143000|-81584
20|2005|I846G|SHC CAPITAL LIMITED|Gross claims settled - RI recoveries from business ceded to other countries|21|63|0|3602|5663|-64|166|0|0|-38490|1999|0|0|3762|-32729|-23299
21|2005|I846G|SHC CAPITAL LIMITED|Gross claims settled - Total (19 to 21)|22|2021|-4899|50995|858740|151797|1751|0|4750|185592|47953|0|0|42964|281259|1341664
22|2005|I846G|SHC CAPITAL LIMITED|Net claims settled|23|38536|1314|105730|4586746|1673488|217|0|106835|-86721|-255|0|0|145421|165280|6571311
23|2005|I846G|SHC CAPITAL LIMITED|Claims liabilities at end of period|24|88000|52000|182000|8414000|4046000|809|5260|654052|217600|248124|2214|0|180941|1302931|14091000
24|2005|I846G|SHC CAPITAL LIMITED|Claims liabilities at beginning of period|25|51689|111163|448656|13034697|4552272|6203|2666|762630|323517|218339|606|0|381537|1686629|19893975
25|2005|I846G|SHC CAPITAL LIMITED|Net claims incurred|26|74847|-57849|-160926|-33951|1167216|-5177|2594|-1743|-192638|29530|1608|0|-55175|-218418|768336
26|2005|I846G|SHC CAPITAL LIMITED|Management Expenses|27|75681|9389|117922|1893127|885849|31585|7818|231202|206699|147829|1849|0|148500|736079|3757450
27|2005|I846G|SHC CAPITAL LIMITED|Commissions|28|31657|4805|113548|685412|222844|25409|1627|102000|196330|239120|450|0|88881|626781|1712083
28|2005|I846G|SHC CAPITAL LIMITED|Reinsurance commissions|29|6358|7906|-145811|15772|30474|-670|-103101|11370|383710|-61869|18231|0|34921|386363|197291
29|2005|I846G|SHC CAPITAL LIMITED|Net commissions incurred|30|25299|-3101|259359|669640|192370|26079|104728|90630|-187380|300989|-17781|0|53960|240418|1514792
30|2005|I846G|SHC CAPITAL LIMITED|Other distribution expenses|31|10243|0|26429|33529|77584|0|0|7326|16102|21765|0|0|5234|50427|198212
31|2005|I846G|SHC CAPITAL LIMITED|Underwriting gain / (loss)|32|-23146|59305|3804|1089962|-750766|16202|-95106|-15810|342620|-284109|18917|0|188071|249689|549944
32|2005|I846G|SHC CAPITAL LIMITED|F. NET INVESTMENT INCOME|33|9200|1141|14334|230125|107682|3840|950|28105|25126|17970|225|0|18051|89477|456749
